name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,N,C,70.00,4.00,1.00,130.00,10.00,5.00,6.00,280.00,25.00,3.00,1.00,0.33,68.40
100% Natural Bran,Q,C,120.00,3.00,5.00,15.00,2.00,8.00,8.00,135.00,0.00,3.00,1.00,1.00,33.98
All-Bran,K,C,70.00,4.00,1.00,260.00,9.00,7.00,5.00,320.00,25.00,3.00,1.00,0.33,59.43
All-Bran with Extra Fiber,K,C,50.00,4.00,0.00,140.00,14.00,8.00,0.00,330.00,25.00,3.00,1.00,0.50,93.70
Almond Delight,R,C,110.00,2.00,2.00,200.00,1.00,14.00,8.00,-1.00,25.00,3.00,1.00,0.75,34.38
Apple Cinnamon Cheerios,G,C,110.00,2.00,2.00,180.00,1.50,10.50,10.00,70.00,25.00,1.00,1.00,0.75,29.51
Apple Jacks,K,C,110.00,2.00,0.00,125.00,1.00,11.00,14.00,30.00,25.00,2.00,1.00,1.00,33.17
Basic 4,G,C,130.00,3.00,2.00,210.00,2.00,18.00,8.00,100.00,25.00,3.00,1.33,0.75,37.04
Bran Chex,R,C,90.00,2.00,1.00,200.00,4.00,15.00,6.00,125.00,25.00,1.00,1.00,0.67,49.12
Bran Flakes,P,C,90.00,3.00,0.00,210.00,5.00,13.00,5.00,190.00,25.00,3.00,1.00,0.67,53.31
Cap'n'Crunch,Q,C,120.00,1.00,2.00,220.00,0.00,12.00,12.00,35.00,25.00,2.00,1.00,0.75,18.04
Cheerios,G,C,110.00,6.00,2.00,290.00,2.00,17.00,1.00,105.00,25.00,1.00,1.00,1.25,50.76
Cinnamon Toast Crunch,G,C,120.00,1.00,3.00,210.00,0.00,13.00,9.00,45.00,25.00,2.00,1.00,0.75,19.82
Clusters,G,C,110.00,3.00,2.00,140.00,2.00,13.00,7.00,105.00,25.00,3.00,1.00,0.50,40.40
Cocoa Puffs,G,C,110.00,1.00,1.00,180.00,0.00,12.00,13.00,55.00,25.00,2.00,1.00,1.00,22.74
Corn Chex,R,C,110.00,2.00,0.00,280.00,0.00,22.00,3.00,25.00,25.00,1.00,1.00,1.00,41.45
Corn Flakes,K,C,100.00,2.00,0.00,290.00,1.00,21.00,2.00,35.00,25.00,1.00,1.00,1.00,45.86
Corn Pops,K,C,110.00,1.00,0.00,90.00,1.00,13.00,12.00,20.00,25.00,2.00,1.00,1.00,35.78
Count Chocula,G,C,110.00,1.00,1.00,180.00,0.00,12.00,13.00,65.00,25.00,2.00,1.00,1.00,22.40
Cracklin' Oat Bran,K,C,110.00,3.00,3.00,140.00,4.00,10.00,7.00,160.00,25.00,3.00,1.00,0.50,40.45
Cream of Wheat (Quick),N,H,100.00,3.00,0.00,80.00,1.00,21.00,0.00,-1.00,0.00,2.00,1.00,1.00,64.53
Crispix,K,C,110.00,2.00,0.00,220.00,1.00,21.00,3.00,30.00,25.00,3.00,1.00,1.00,46.90
Crispy Wheat & Raisins,G,C,100.00,2.00,1.00,140.00,2.00,11.00,10.00,120.00,25.00,3.00,1.00,0.75,36.18
Double Chex,R,C,100.00,2.00,0.00,190.00,1.00,18.00,5.00,80.00,25.00,3.00,1.00,0.75,44.33
Froot Loops,K,C,110.00,2.00,1.00,125.00,1.00,11.00,13.00,30.00,25.00,2.00,1.00,1.00,32.21
Frosted Flakes,K,C,110.00,1.00,0.00,200.00,1.00,14.00,11.00,25.00,25.00,1.00,1.00,0.75,31.44
Frosted Mini-Wheats,K,C,100.00,3.00,0.00,0.00,3.00,14.00,7.00,100.00,25.00,2.00,1.00,0.80,58.35
Fruit & Fibre Dates; Walnuts; and Oats,P,C,120.00,3.00,2.00,160.00,5.00,12.00,10.00,200.00,25.00,3.00,1.25,0.67,40.92
Fruitful Bran,K,C,120.00,3.00,0.00,240.00,5.00,14.00,12.00,190.00,25.00,3.00,1.33,0.67,41.02
Fruity Pebbles,P,C,110.00,1.00,1.00,135.00,0.00,13.00,12.00,25.00,25.00,2.00,1.00,0.75,28.03
Golden Crisp,P,C,100.00,2.00,0.00,45.00,0.00,11.00,15.00,40.00,25.00,1.00,1.00,0.88,35.25
Golden Grahams,G,C,110.00,1.00,1.00,280.00,0.00,15.00,9.00,45.00,25.00,2.00,1.00,0.75,23.80
Grape Nuts Flakes,P,C,100.00,3.00,1.00,140.00,3.00,15.00,5.00,85.00,25.00,3.00,1.00,0.88,52.08
Grape-Nuts,P,C,110.00,3.00,0.00,170.00,3.00,17.00,3.00,90.00,25.00,3.00,1.00,0.25,53.37
Great Grains Pecan,P,C,120.00,3.00,3.00,75.00,3.00,13.00,4.00,100.00,25.00,3.00,1.00,0.33,45.81
Honey Graham Ohs,Q,C,120.00,1.00,2.00,220.00,1.00,12.00,11.00,45.00,25.00,2.00,1.00,1.00,21.87
Honey Nut Cheerios,G,C,110.00,3.00,1.00,250.00,1.50,11.50,10.00,90.00,25.00,1.00,1.00,0.75,31.07
Honey-comb,P,C,110.00,1.00,0.00,180.00,0.00,14.00,11.00,35.00,25.00,1.00,1.00,1.33,28.74
Just Right Crunchy  Nuggets,K,C,110.00,2.00,1.00,170.00,1.00,17.00,6.00,60.00,100.00,3.00,1.00,1.00,36.52
Just Right Fruit & Nut,K,C,140.00,3.00,1.00,170.00,2.00,20.00,9.00,95.00,100.00,3.00,1.30,0.75,36.47
Kix,G,C,110.00,2.00,1.00,260.00,0.00,21.00,3.00,40.00,25.00,2.00,1.00,1.50,39.24
Life,Q,C,100.00,4.00,2.00,150.00,2.00,12.00,6.00,95.00,25.00,2.00,1.00,0.67,45.33
Lucky Charms,G,C,110.00,2.00,1.00,180.00,0.00,12.00,12.00,55.00,25.00,2.00,1.00,1.00,26.73
Maypo,A,H,100.00,4.00,1.00,0.00,0.00,16.00,3.00,95.00,25.00,2.00,1.00,1.00,54.85
Muesli Raisins; Dates; & Almonds,R,C,150.00,4.00,3.00,95.00,3.00,16.00,11.00,170.00,25.00,3.00,1.00,1.00,37.14
Muesli Raisins; Peaches; & Pecans,R,C,150.00,4.00,3.00,150.00,3.00,16.00,11.00,170.00,25.00,3.00,1.00,1.00,34.14
Mueslix Crispy Blend,K,C,160.00,3.00,2.00,150.00,3.00,17.00,13.00,160.00,25.00,3.00,1.50,0.67,30.31
Multi-Grain Cheerios,G,C,100.00,2.00,1.00,220.00,2.00,15.00,6.00,90.00,25.00,1.00,1.00,1.00,40.11
Nut&Honey Crunch,K,C,120.00,2.00,1.00,190.00,0.00,15.00,9.00,40.00,25.00,2.00,1.00,0.67,29.92
Nutri-Grain Almond-Raisin,K,C,140.00,3.00,2.00,220.00,3.00,21.00,7.00,130.00,25.00,3.00,1.33,0.67,40.69
Nutri-grain Wheat,K,C,90.00,3.00,0.00,170.00,3.00,18.00,2.00,90.00,25.00,3.00,1.00,1.00,59.64
Oatmeal Raisin Crisp,G,C,130.00,3.00,2.00,170.00,1.50,13.50,10.00,120.00,25.00,3.00,1.25,0.50,30.45
Post Nat. Raisin Bran,P,C,120.00,3.00,1.00,200.00,6.00,11.00,14.00,260.00,25.00,3.00,1.33,0.67,37.84
Product 19,K,C,100.00,3.00,0.00,320.00,1.00,20.00,3.00,45.00,100.00,3.00,1.00,1.00,41.50
Puffed Rice,Q,C,50.00,1.00,0.00,0.00,0.00,13.00,0.00,15.00,0.00,3.00,0.50,1.00,60.76
Puffed Wheat,Q,C,50.00,2.00,0.00,0.00,1.00,10.00,0.00,50.00,0.00,3.00,0.50,1.00,63.01
Quaker Oat Squares,Q,C,100.00,4.00,1.00,135.00,2.00,14.00,6.00,110.00,25.00,3.00,1.00,0.50,49.51
Quaker Oatmeal,Q,H,100.00,5.00,2.00,0.00,2.70,-1.00,-1.00,110.00,0.00,1.00,1.00,0.67,50.83
Raisin Bran,K,C,120.00,3.00,1.00,210.00,5.00,14.00,12.00,240.00,25.00,2.00,1.33,0.75,39.26
Raisin Nut Bran,G,C,100.00,3.00,2.00,140.00,2.50,10.50,8.00,140.00,25.00,3.00,1.00,0.50,39.70
Raisin Squares,K,C,90.00,2.00,0.00,0.00,2.00,15.00,6.00,110.00,25.00,3.00,1.00,0.50,55.33
Rice Chex,R,C,110.00,1.00,0.00,240.00,0.00,23.00,2.00,30.00,25.00,1.00,1.00,1.13,42.00
Rice Krispies,K,C,110.00,2.00,0.00,290.00,0.00,22.00,3.00,35.00,25.00,1.00,1.00,1.00,40.56
Shredded Wheat,N,C,80.00,2.00,0.00,0.00,3.00,16.00,0.00,95.00,0.00,1.00,0.83,1.00,68.24
Shredded Wheat 'n'Bran,N,C,90.00,3.00,0.00,0.00,4.00,19.00,0.00,140.00,0.00,1.00,1.00,0.67,74.47
Shredded Wheat spoon size,N,C,90.00,3.00,0.00,0.00,3.00,20.00,0.00,120.00,0.00,1.00,1.00,0.67,72.80
Smacks,K,C,110.00,2.00,1.00,70.00,1.00,9.00,15.00,40.00,25.00,2.00,1.00,0.75,31.23
Special K,K,C,110.00,6.00,0.00,230.00,1.00,16.00,3.00,55.00,25.00,1.00,1.00,1.00,53.13
Strawberry Fruit Wheats,N,C,90.00,2.00,0.00,15.00,3.00,15.00,5.00,90.00,25.00,2.00,1.00,1.00,59.36
Total Corn Flakes,G,C,110.00,2.00,1.00,200.00,0.00,21.00,3.00,35.00,100.00,3.00,1.00,1.00,38.84
Total Raisin Bran,G,C,140.00,3.00,1.00,190.00,4.00,15.00,14.00,230.00,100.00,3.00,1.50,1.00,28.59
Total Whole Grain,G,C,100.00,3.00,1.00,200.00,3.00,16.00,3.00,110.00,100.00,3.00,1.00,1.00,46.66
Triples,G,C,110.00,2.00,1.00,250.00,0.00,21.00,3.00,60.00,25.00,3.00,1.00,0.75,39.11
Trix,G,C,110.00,1.00,1.00,140.00,0.00,13.00,12.00,25.00,25.00,2.00,1.00,1.00,27.75
Wheat Chex,R,C,100.00,3.00,1.00,230.00,3.00,17.00,3.00,115.00,25.00,1.00,1.00,0.67,49.79
Wheaties,G,C,100.00,3.00,1.00,200.00,3.00,17.00,3.00,110.00,25.00,1.00,1.00,1.00,51.59
Wheaties Honey Gold,G,C,110.00,2.00,1.00,200.00,1.00,16.00,8.00,60.00,25.00,1.00,1.00,0.75,36.19
